Day,Chapter,Title,Guiding_Question,CCLS,DoNow,Mini-lesson,Task,Assessment,Homework
2,10,Binomial distributions,How is the binomial expansion like a probability tree?,HSS.MD.A.3 Develop a probability distribution for a random variable,"Make a tree representing three coin flips. What is the probability of each outcome?
If order doesn't matter, how can the results be consolidated into a probability distribution of the total number of heads?",Binomial expansion,IB exam paper problems,Test corrections due Thursday ,Complete probability problem set
3,10,Binomial distributions,How is the binomial expansion like a probability tree?,HSS.MD.A.3 Develop a probability distribution for a random variable,,Review problem set,binomial distribution applications,,Handout of misc. review (11.1 test)
4,10,Binomial distributions,How is the binomial expansion like a probability tree?,HSS.MD.A.3 Develop a probability distribution for a random variable,"Complete review of problem set, new binomial problems",Integration as area calculation,Problem set of integration,,Integration problems
5,10,Probability distributions,How do we summarize the features of a population?,HSS.MD.A.3 Develop a probability distribution for a random variable,Given f(x)=x^2+3x. Find f'(x). What is the equation of the tangent to f at x=1. Plot both on your graphing calculator.,"Cumulative distributions, summative stats",Grouped frequency table calculations,Problem \#3 2H p. 60,"Problem set, univariate data statistics"
6,15,Probability distributions,How do we interpret a cumulative distribution graph?,HSS.MD.A.3 Develop a probability distribution for a random variable,"Write a formula for the mean of the following data, then use the calculator stats function to compute it. Homework review","Dispersion p. 73-83, Normal distributions p. 204-216",Problem \#1 2K p. 72,Problem \#7 Review exercise p. 79,"Problem set, cumulative distributions"
7,15,Probability distributions,How do we interpret a cumulative distribution graph?,HSS.MD.A.3 Develop a probability distribution for a random variable,Problem \#7 Review exercise p. 79,"Dispersion p. 73-83, Normal distributions p. 204-216",Problem \#4 Review exercise p. 208,Calculator cumulative normal function,"Problem set, cumulative distributions"
8,15,Probability distributions,How do we use the normal curve?,HSS.MD.A.3 Develop a probability distribution for a random variable,Problem \#3 Exam style question p. 72,"Normal distributions p. 204-216, Regression p 216-223",Problem \4 p. 223; \#1 5A p. 207,,Problem set handout
9,15,Probability distributions,How do we use the normal curve?,HSS.MD.A.3 Develop a probability distribution for a random variable,"How would you interpret the correlation of two variables having $r=-0.65$? (p. 359) Sketch a normal curve with $X~N(500, 50^2).","Regression: residuals, least-squares, extrapolation, mean point $(\overbar{x},\overbar{y})$ (p. 334-359)\\* Normal distribution, inverse normal (p. 538-553) ","The standard normal and Z-score problems, 15H p. 541","Exercise 15H \#1, 5 p. 541","Problem set regressions, probability distributions"
10,15,Probability distributions,How do we use the normal curve?,HSS.MD.A.3 Develop a probability distribution for a random variable,"Exercise 15J \#1 p. 544. (include a sketch, and the Z-score of each euro value)","Normal distribution, inverse normal (p. 538-553) ","The standard normal and Z-score problems, Example 13 p. 545",Exercise 15K \#1a p. 546,Exercise 15J (\& 15K) p. 544 (546)
11,15,Probability distributions,How do we use the normal curve?,HSS.MD.A.3 Develop a probability distribution for a random variable,Exercise \#1 \& 5 p. 551,"Inverse normal, Example 14 p. 546, Example 16 p. 548",Review exercises p. 551,Exercise 15L \#2 p. 548,"Even exercises 15L (\& 15M) p. 548, 550"
12,15,Probability distributions,How do we use the inverse normal function?,HSS.MD.A.3 Develop a probability distribution for a random variable,Review exercise \#4 p. 552,Example 17 p. 549,Review exercises p. 551,Exam Tuesday,Pre-test packet
1,12,Integration,How do we calculate displacement from velocity?,F.IF.B.6 Calc. & interpret the rate of change of a function,,"Integrating velocity over time, displacement p. 322","Review 9F, 9M, probability",,"Exercises 9P p. 326, any remaining problem sets"
2,12,Integration,,F.IF.B.6 Calc. & interpret the rate of change of a function,,,,"Papers 1 & 2, take home exam",
1,,Derivatives,How does a function's graph relate to its derivatives?,HSF.IF.B.4 Interpret key features of functions and their graphs,"Take the 1st \& 2nd derivatives of $f(x)=x^3-6x^2+6x$. \item Sketch the function.\\* Challenge: Identify key features, graphically \& algebraically.","Function graphs, extrema, the 1st \& 2nd derivative tests p. 233, 240","7Q p. 232 \#1-3; 7R p. 234 1, 2; 7S p. 236 1, 3 ",Graphing problem \#1 (\#2 challenge),Handout: IB function / graphing problem set
2,,Derivatives,How does a function's graph relate to its derivatives?,HSF.IF.B.4 Interpret key features of functions and their graphs,"Take the 1st \& 2nd derivatives of $f(x)=x \cos x, 0 \leq x \leq 2\pi$. \item Sketch the function. \item Over what intervals is the function increasing, decreasing?","Function graphs, extrema, the 1st \& 2nd derivative tests p. 233, 240","7Q p. 232 \#1-3; 7R p. 234 1, 2; 7S p. 236 1, 3 ",Graphing problem \#1 (\#2 challenge),Test corrections Paper 1
3,,Derivatives,How does a function's graph relate to its derivatives?,HSF.IF.B.4 Interpret key features of functions and their graphs,Given f(x)=-x^4+2x^2+x. Calculator calculus operations.,"Function graphs, extrema, the 1st \& 2nd derivative tests p. 233, 240","7Q p. 232 \#1-3; 7R p. 234 1, 2; 7S p. 236 1, 3 ",Calculator calculus functions in Do Now,Handout: IB function / graphing problem set
4,,Derivatives,How does a function's graph relate to its derivatives?,HSF.IF.B.4 Interpret key features of functions and their graphs,"Find the 1st derivative of the function and solve for it's zeros as potential extrema (stationary points). Use the 1st derivative test to determine whether it is a max, min, or neither.}
      \item $f(x)=x^3$.       \item $\displaystyle f(x)=\frac{x^2-4}{x^2-1}$","The 1st \& 2nd derivative tests p. 233, 240","Homework review; 7Q p. 232 \#1-3; 7R p. 234 1, 2; 7S p. 236 1, 4",Use of the 1st  \& 2nd derivative tests,Study for test
5,,Calculus,How do we differentiate?,IF.B.6 Calculate and interpret the average rate of change of a function,Skills practice sheet,Exam review,Work problems on board,,Deltamath 10 problems
6,,Calculus,How do we differentiate?,IF.B.6 Calculate the area under a curve,Chain rule differentiation,Exam review,Work problems on board,,Integration exam problems
1,12,Vectors,How do we find the angle between two lines?,HSG.SRT.D.9 Understand and apply the law of cosines,"1st & 2nd derivatives of 1) sinx, 2) sinx^2",Cosine formula for intersecting vectors p426,#8-9 p 429.,Print project paper,Quadratic function review handout
2,12,Vectors,How do we find the intersection of two lines?,HSG.SRT.D.9 Understand and apply the law of cosines,Calculate the angle between vectors 2i+5j+2k and 3i-2j+2k,Intersection of two vector equations p 434,"Example 15, exercises",12K #1 p 435,none
3,12.5,Vectors,How do we solve problems with vectors?,HSG.SRT.D.9 Understand and apply the law of cosines,Exam review,Applications p437,"#3 p438, #6 p441",12L #1 p 437,"12L, Review exercises, test corrections"
4,12,Vectors,How do we solve challenging vector and calculus problems?,HSG.SRT.D.9 Understand and apply the law of cosines,,Vector and calculus applications ,Strategies for homework problems,,Paper 2 vector and calculus problems
1,,Integration,How do we integrate volumes?,IF.B.6 Calculate the area under a curve,Identifying problem types,Integration of volumes,Work homework problems on board,self-reflection on mixed versus block problem sets,Solids of rotation \& mixed exam problems
